ID	st_vseh	delez_izbranih_tock	relativna_napaka_ploscine_1	relativna_napaka_obseg_1	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog
1116	600	23.333333333333332	97.50969082511737	98.89777565905047	62.730475841978425	14.52232779560709
1117	600	23.666666666666668	96.2881158611357	95.2018263119743	56.72062678856946	13.870984012905607
1118	600	23.833333333333336	93.69187982229546	94.27130658454861	62.92346319548715	15.370504561286582
1119	600	23.666666666666668	97.73739728264466	99.48440640014987	49.27775854448823	12.757915447789935
1120	600	56.333333333333336	99.2335900558818	99.24498719501213	52.025865287898796	12.790358076703937
1121	600	57.333333333333336	98.47453916139554	99.60121622951381	48.240540131209954	11.956847573229428
1122	600	57.49999999999999	99.03536407612476	99.75329217374193	50.658232436698704	13.653800476563912
1123	600	57.833333333333336	97.10869803246213	98.34142085495715	51.53976265860185	12.151333585587361
1124	600	57.99999999999999	99.53811375962756	99.75406003162752	48.42224377923333	13.675041671479782
1125	600	56.333333333333336	98.98405792171829	98.93570677653777	55.57664372024295	12.973299101880546
1126	600	57.99999999999999	97.55276459880736	97.92644156338677	61.56971945670645	14.827895865019611
1127	600	57.833333333333336	98.57108808493842	98.87350855569541	60.40784079669973	15.483052583058216
1128	600	58.666666666666664	99.16683686712308	99.94734322632817	52.10127542853681	14.173568994880203
1129	600	57.333333333333336	99.56039185424842	99.67788374972999	48.48003757699746	11.821582441936378
1130	600	76.0	99.97381535349355	99.99376641244251	50.59034213558875	13.27670138987347
1131	600	74.16666666666667	99.39021343479331	99.95723548945594	53.92755539968683	13.046777122941243
1132	600	75.66666666666667	99.41830999570642	99.82993245673605	54.49838918369554	12.888496795593992
1133	600	76.33333333333333	99.11851636091743	99.55924061943236	52.327982017434415	13.188770968217945
1134	600	74.66666666666667	99.72498153054971	99.99072738854157	61.103015640707966	16.279196870829317
1135	600	75.66666666666667	99.77832996599783	99.61838703685528	61.29754998494812	15.87084342073739
1136	600	75.16666666666667	99.09642743010201	99.48201422042104	52.615265056074215	13.260873828378337
1137	600	77.5	99.98722901728304	99.97992221126168	53.27640233838129	13.301653730930793
1138	600	75.66666666666667	99.9128967898428	99.8103102413312	55.393841570664435	13.631295958895622
1139	600	74.5	99.40490896073383	99.87803745396857	49.20010084119784	12.254496663428792
1140	600	83.66666666666667	99.79185289981335	99.67400690085599	61.211315380887555	15.51683775818642
1141	600	84.66666666666667	99.83062231512164	99.99675631383477	55.03580178184399	14.16850731484159
1142	600	84.83333333333334	99.83946367003601	99.80161034353674	47.95318681861846	11.615639208939056
1143	600	86.0	99.90816112207962	99.98794432834939	47.607226266800055	11.444471880230186
1144	600	83.33333333333334	99.78650153575674	99.98725168040293	58.72434473304956	14.876041479117927
1145	600	83.0	99.98490013670602	99.99177766386191	50.39768694922834	12.991052465960257
1146	600	84.66666666666667	99.94779722173777	99.99145806435614	61.67300122432693	15.594363326412122
1147	600	85.5	99.9142181061466	99.50363149854547	58.873144989791356	14.594275038358765
1148	600	86.0	99.84033255873878	99.97006491530355	57.44123840096989	13.759450526677321
1149	600	84.33333333333334	99.76697309218046	99.91378716778969	51.66588484280904	13.423618777581172
1150	600	90.83333333333333	99.65392841135878	99.80029745467009	54.036822046801504	13.7487593103716
1151	600	87.66666666666667	99.965885500133	99.99466511998776	60.68531200242302	15.994476386740805
1152	600	89.33333333333333	99.91159541628069	99.99530884504675	53.29852523401535	12.994802762846172
1153	600	89.16666666666667	99.73588439374241	99.92319472201798	54.1378642655941	14.01998296424655
1154	600	89.83333333333333	99.89392747832733	99.95967060020394	49.81274470902702	11.276349685866988
1155	600	89.5	99.98465302254024	99.99984013489131	51.50776606514474	11.836422437935145
1156	600	91.33333333333333	100.0	100.0	46.66817985856731	11.453253998612906
1157	600	89.16666666666667	99.94431859652842	99.85910574971743	53.39642897019564	13.054419986161081
1158	600	88.5	100.0	100.0	56.08212149122297	16.48556036355535
1159	600	88.83333333333333	99.38448863218038	99.79606184823966	58.385928953832476	15.58138737377266
1160	600	93.0	99.68201050014447	99.86835584407876	54.83240940922593	13.193898333278655
1161	600	93.0	99.72479798439521	99.95524652424571	54.4440211607655	12.922137853873778
1162	600	91.33333333333333	99.86396985830284	99.96933167308337	63.44362578477808	16.015172176000267
1163	600	90.5	99.61751805679592	99.95082528652249	59.54025207477874	14.191374485900617
1164	600	92.83333333333333	99.95337208210114	99.99886221210438	58.42193122215075	14.027238402082038
