ID	st_vseh	delez_izbranih_tock	relativna_napaka_ploscine_1	relativna_napaka_obseg_1	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog	m	k
629	250	88.8	100.0	100.0	30.977933397975306	5.372400929759345	30	29
630	250	87.2	99.73173801613136	99.54981349103534	0.05700409233965791	6.090161194971825	30	31
631	250	85.2	99.96466456940307	99.99133862128072	32.728989252434246	6.3626914740970975	30	31
632	250	87.6	99.68251785241796	99.98595277555357	71.58461564633856	22.084316594595734	30	33
633	250	84.8	99.35368960910422	99.85620871759038	44.04185844405714	9.700297682015796	30	33
634	250	86.4	99.89997218747654	99.88651086945357	43.558176377982335	9.51593690815117	30	35
635	250	86.8	99.85848792821476	99.8163683442113	0.46381783688633754	8.40592210359032	30	35
636	250	88.0	99.12581957210736	99.7698099942266	59.815634626964155	15.247584178206955	30	37
637	250	85.6	98.46902758092145	99.08227785781636	16.366499950159845	0.12784607586029806	30	37
638	250	88.4	100.0	100.0	12.576428892474368	0.9360064725833351	30	39
639	250	87.2	99.4177877462795	99.72342477588924	13.442206219288416	1.4442050543735117	30	39
640	250	84.39999999999999	98.59166048991843	99.64863715444112	34.84778264806187	8.101654481395206	30	41
641	250	85.2	98.95862713161388	99.79228640354847	33.29129099680297	6.530184904602682	30	41
642	250	86.8	99.80922733776814	99.69681243756054	55.140944080446744	16.515324666497108	30	43
643	250	88.8	99.74139699438865	99.9900754436235	44.516800972872915	12.056483395343703	30	43
644	250	86.0	99.70502523607679	99.87444846936313	21.63488476027742	0.870301452729539	30	45
645	250	86.0	99.92991271597505	99.9988075216126	43.27599101392285	8.089237171819793	30	45
646	250	89.2	99.36469726576608	99.84939111768846	21.857240927809908	4.536557252675067	30	47
647	250	86.4	99.77516251899549	99.99032737508277	41.32796773085051	8.3071061930314	30	47
648	250	91.2	100.0	100.0	57.21435471286781	15.830820777013837	30	49
649	250	86.4	99.47766483536799	99.8783043146843	65.1028995653198	16.46842349417486	30	49
650	250	96.39999999999999	100.0	100.0	100.0	100.0	40	1
651	250	94.8	100.0	100.0	100.0	100.0	40	1
652	250	95.6	99.78700922421483	99.99283370424185	21.102503103395957	2.2603292439130143	40	3
653	250	92.80000000000001	99.98263193796906	99.99866613368245	24.162227082402165	19.056968917623237	40	3
654	250	90.8	100.0	100.0	50.19873035347599	34.7361588355988	40	5
655	250	92.80000000000001	99.75234078113768	99.852092960199	28.542121180415585	6.373756720040536	40	5
656	250	92.4	99.9585663475731	99.99932135259445	22.69004836490822	20.112618519569164	40	7
657	250	92.80000000000001	100.0	100.0	2.9376353997283866	8.610718867507641	40	7
658	250	94.0	100.0	100.0	13.138197250620715	0.7502111513741985	40	9
659	250	91.60000000000001	99.88719629574896	99.98274046921567	11.012837407875415	3.2605918010593404	40	9
660	250	92.0	99.60612796042851	99.7484713834128	18.17152528419864	14.92223122440558	40	11
661	250	91.60000000000001	99.93205008535082	99.99881837141457	37.05993108988342	7.804431711646119	40	11
662	250	92.0	99.36821243738521	99.82293919810775	2.0178424119672838	6.86631894655924	40	13
663	250	92.80000000000001	99.69774121054492	99.90423038830676	6.90618399127599	4.678239089224352	40	13
664	250	94.8	100.0	100.0	59.362844471929044	15.758040475519058	40	15
665	250	91.60000000000001	99.60805125743472	99.81671853032941	29.811993595832732	7.123668790175389	40	15
666	250	94.0	99.94996161335727	99.9995360290119	8.136943680817083	4.993485708350585	40	17
667	250	90.8	99.86705033851935	99.84617703820243	11.687744393528973	2.0367831926165247	40	17
668	250	90.0	99.97871926440739	99.97271164664726	44.84307202075978	10.727016893024977	40	19
669	250	96.39999999999999	100.0	100.0	12.093566969262334	2.2673795843645683	40	19
670	250	90.0	99.8807691369844	99.99665119997563	52.53000278335814	13.084896637169475	40	21
671	250	92.4	98.77827264258508	98.59971365013563	32.67331651208819	5.409099256829886	40	21
672	250	92.0	99.63060552593515	99.97925509546016	23.032736473337216	2.9216547734778584	40	23
673	250	93.60000000000001	99.98565495821254	99.99459238200126	28.75819581749621	6.527283210824446	40	23
674	250	92.4	99.99821780200325	99.99998924222643	51.57978827523283	12.680298128612636	40	25
675	250	91.60000000000001	100.0	100.0	43.93846871025284	12.729987759675609	40	25
676	250	93.2	99.8519481968822	99.98939199258918	37.33904359260085	9.332928538444616	40	27
677	250	92.4	100.0	100.0	90.73479122954194	26.56752379676416	40	27
678	250	92.80000000000001	100.0	100.0	28.35088135749008	5.496952648993939	40	29
679	250	94.8	100.0	100.0	77.83935846651214	21.818748471568867	40	29
680	250	94.39999999999999	100.0	100.0	53.28375043246728	13.435962210162803	40	31
